x	y	Presence
22.866	53.1551	1
13.64417	55.68778	1
8.00328	47.55684	1
16.75112	44.756889	1
2.34342	43.20942	1
-0.70247	48.19732	1
2.02961	47.83667	1
20.31662	49.5333	1
0.75452	44.73623	1
11.274613	55.158529	1
5.823	53.448	1
2.33827	49.78441	1
18.08333	52.04168	1
11.369033	61.892722	1
0.855748	41.678634	1
3.446	51.531	1
-4.07332	48.55368	1
11.93317	57.48089	1
-3.344676	54.25766	1
-6.389694	55.799773	1
17.91667	53.12502	1
8.424244	56.885544	1
-2.895578	52.64385	1
0.75901	46.74159	1
15.86206	59.32056	1
-4.74505	52.790771	1
2.006313	41.305093	1
-0.42741	46.39461	1
19.2856	50.8297	1
-2.18333	38.83333	1
0.681711	52.288656	1
9.264182	59.403383	1
21.58333	52.62502	1
16.66074	46.71275	1
-1.20141	47.30954	1
0.62399	49.3496	1
9.18567	41.43501	1
9.239102	55.988213	1
10.180654	60.076342	1
-3.49997	37.16665	1
9.04793	45.8163	1
-1.58907	40.50944	1
10.253498	57.599302	1
13.34254	42.38379	1
-4.583852	55.042037	1
4.92664	45.78609	1
-3.506613	58.182431	1
16.62	56.79278	1
2.46442	44.87611	1
7	50.6	1
2.76678	46.47261	1
5.22129	44.20404	1
0.15449	48.4738	1
5.064683	50.514	1
3.71583	49.0072	1
3.9935	47.35109	1
29.4093	49.1942	1
-0.21284	44.44226	1
19.91667	51.45835	1
38.966395	48.758607	1
14.76807	52.20751	1
5.6	49.65	1
-0.902123	52.278041	1
-7.622901	57.518109	1
1.81719	49.06249	1
5.02285	47.94784	1
0.049227	53.663431	1
3.96438	45.73047	1
1.19883	47.57594	1
7.37268	48.15651	1
3.725726	50.695099	1
5.468025	52.460969	1
-2.137541	55.909527	1
3.29768	48.19573	1
-8.59281	41.23333	1
22.16965	49.9513	1
7.92622	46.10715	1
17.47029	60.18068	1
22.75	50.70835	1
-3.662922	56.544002	1
-3.649078	55.148168	1
4.08513	43.9115	1
27.653862	44.048507	1
6.19469	46.81068	1
13.51	47.31	1
7.44963	60.561964	1
-2.752361	57.492975	1
11.72093	59.285427	1
9.868168	55.446247	1
26.01667	44.31667	1
6.37796	43.94602	1
7.898725	58.051734	1
12.52647	54.96071	1
-1.465381	54.169609	1
-2.415082	59.358154	1
6.332846	51.361008	1
-1.76	42.24	1
-4.396588	58.024605	1
-6.15804	56.617246	1
3.6959	44.83198	1
-2.051616	51.325589	1
6.74346	46.08792	1
8.38359	59.402194	1
3.56463	46.60827	1
4.5	52.35	1
-2.580763	54.515403	1
16.2759	53.89007	1
1.02344	45.93135	1
6.56	53.13	1
1.55847	44.84033	1
15.12171	56.20365	1
9.645678	60.928538	1
9.892665	56.52431	1
-2.075955	53.002294	1
23.84893	51.12124	1
1.485831	52.06976	1
3.02797	42.8126	1
-4.488544	50.938047	1
-9.731391	52.13515	1
6.666667	60.5	1
-4.28592	47.80037	1
1.61108	50.82928	1
0.93386	43.4941	1
-4.812154	57.045945	1
11.073128	60.819373	1
-1.27022	48.8913	1
11.003536	59.028951	1
17.06621	47.88342	1
6.83351	47.55912	1
2.36121	43.96856	1
5.41807	45.17055	1
-0.6685	43.62499	1
-3.509927	51.374315	1
-2.240258	49.180997	1
0.336728	50.889031	1
28.668326	49.720021	1
11.872261	60.170357	1
0.25025	42.75395	1
4.61429	48.99239	1
0.29	40.34	1
5.50028	43.43275	1
-1.083863	51.528383	1
-2.71714	55.242584	1
9.49592	42.10611	1
8.821289	48.342709	1
6.26126	45.41702	1
39.696566	48.791817	1
5.823823	62.240313	1
-0.176946	52.089241	1
-5.117735	55.564451	1
22.2267	54.0964	1
8.196893	60.622865	1
0.329949	51.590207	1
4.67441	47.16855	1
16.40982	51.08887	1
5.22143	46.4336	1
0.537579	52.970742	1
6.85	43.433333	1
-4.70074	52.072381	1
9.42566	46.50643	1
-0.574205	53.353361	1
1.95046	42.56458	1
6.7239	44.6815	1
-1.51736	43.42654	1
-0.23406	45.17093	1
5.416419	60.27615	1
-2.87008	47.9748	1
27.976314	44.676417	1
13.32	46.66	1
22.8706	52.4792	1
-8.39318	40.2	1
15.54778	45.513939	1
-2.34693	46.70964	1
1.67306	43.37111	1
8.64341	47.36756	1
15.75	51.37502	1
-3.165748	53.351684	1
6.05734	48.65796	1
28.89917	48.67043	1
28.791968	44.531491	1
16.58333	52.95835	1
13	56.333333	1
-0.41969	42.89222	1
0.61993	47.88992	1
7.14561	48.94845	1
17.42385	50.30149	1
9.663779	47.239206	1
-2.977515	50.997798	1
9.258729	58.684941	1
6.102905	52.635197	1
6.3349	49.8344	1
0.21277	46.31475	1
7.86395	46.7479	1
-0.81	39.81	1
2.12803	48.50193	1
5.959972	60.783442	1
10.867523	56.513481	1
2.3858	45.93618	1
-2.404	52.224013	1
4.0415424	51.7505258	1
0.52148	44.03869	1
-6.10322	57.608247	1
-4.484759	53.425906	1
1.11149	45.28765	1
2.88093	50.19849	1
2.94466	49.42869	1
-3.195745	57.046207	1
-1.1217	44.93785	1
16.76	52.02	1
-3.370554	52.234726	1
-5.13001	57.889132	1
10.4872	46.23657	1
1.25413	49.33449	1
18.18658	59.18626	1
-1.147946	54.707021	1
2.48118	47.14278	1
10.65534	59.577278	1
7.983858	58.928189	1
-5.564961	50.070308	1
20.82097	53.85809	1
28.415033	49.043719	1
3.09824	44.95973	1
-1.71841	46.94548	1
17.22532	46.48288	1
8.917369	56.527488	1
-0.760991	50.752515	1
3.02916	43.42363	1
18.25	51.45835	1
-3.06428	56.453089	1
4.465847	50.593807	1
11.95001	55.60571	1
2.70833	47.84166	1
4.12266	50.07609	1
1.90399	50.20199	1
-0.928983	53.882909	1
19.80083	49.22474	1
15.41667	52.62502	1
7.40555	47.33336	1
5.77303	43.96634	1
5.58877	50.834057	1
7.34187	45.98402	1
1.853423	41.975539	1
-2.054984	54.076413	1
18.6919	50.8844	1
-0.93763	46.08702	1
23.4543	53.2464	1
1.57343	46.15723	1
-3.813003	52.669324	1
3.67956	43.48196	1
-1.67766	47.65767	1
-0.68269	47.58974	1
-1.50458	52.799026	1
-0.93106	46.7876	1
5.60571	48.21982	1
-2.27793	47.96262	1
-0.3367	45.80594	1
5	51.166667	1
-0.95108	49.37958	1
2.02847	44.44763	1
9.9055	46.1667	1
-5.99	40.23	1
15.23267	44.186611	1
8.754621	59.846573	1
17.3382	51.5301	1
-3.5321	48.35924	1
5.98432	47.34436	1
10.578714	60.488441	1
-3.79	42.69	1
4.66097	44.30398	1
-0.01222	47.92856	1
15.47257	59.73283	1
-3.830665	55.684806	1
9.763154	59.661847	1
0.68238	47.33221	1
-1.296423	59.868771	1
-2.36191	48.63458	1
12.86	47.27	1
-0.31	40.3	1
18.316	52.5478	1
11.399176	54.616787	1
1.75528	49.61466	1
-2.96877	47.39001	1
4.20293	49.36321	1
-1.63	42.84	1
-1.858222	53.510101	1
-3.276461	57.667079	1
4.80866	48.47611	1
-4.236558	51.542554	1
11.079749	61.425931	1
